	num
潍坊市	16994
杭州市	16634
唐山市	15699
青岛市	13559
成都市	11418
临沂市	9809
绍兴市	9356
沈阳市	8348
苏州市	8212
南京市	8209
郑州市	7842
盐城市	7711
南通市	7459
南阳市	7236
合肥市	6730
西安市	6487
保定市	6049
邯郸市	5987
金华市	5637
石家庄市	5584
无锡市	5305
广州市	5277
宁波市	5110
徐州市	4981
商丘市	4874
淮安市	4836
镇江市	4736
武汉市	4692
聊城市	4667
泰州市	4446
烟台市	4320
滨州市	4265
宜宾市	4216
滁州市	4215
连云港市	4047
淄博市	4017
信阳市	3994
周口市	3945
常州市	3910
日照市	3905
濮阳市	3824
菏泽市	3768
安阳市	3767
六安市	3686
嘉兴市	3680
襄阳市	3662
济宁市	3599
扬州市	3519
承德市	3498
芜湖市	3466
温州市	3460
邢台市	3453
安庆市	3394
江门市	3341
济南市	3339
张家口市	3274
长沙市	3219
长春市	3196
沧州市	3178
洛阳市	3134
新乡市	3127
佛山市	3062
宝鸡市	2998
许昌市	2880
中山市	2695
驻马店市	2635
廊坊市	2486
平顶山市	2403
宿迁市	2388
开封市	2384
铁岭市	2357
东营市	2352
湖州市	2352
泰安市	2311
台州市	2277
马鞍山市	2162
南充市	2141
德州市	2083
阜阳市	2051
常德市	2032
榆林市	2002
岳阳市	1997
惠州市	1994
漯河市	1985
东莞市	1965
内江市	1960
渭南市	1953
大连市	1953
宿州市	1918
遵义市	1893
秦皇岛市	1859
南宁市	1836
衡水市	1830
桂林市	1830
漳州市	1820
咸阳市	1807
枣庄市	1790
宣城市	1736
鞍山市	1733
乐山市	1729
贵港市	1719
焦作市	1714
德阳市	1704
亳州市	1699
肇庆市	1693
邵阳市	1678
衢州市	1659
福州市	1637
锦州市	1637
泉州市	1580
泸州市	1532
蚌埠市	1527
玉林市	1516
绵阳市	1488
茂名市	1467
赤峰市	1453
汉中市	1401
厦门市	1300
莆田市	1297
湘潭市	1260
广安市	1258
南平市	1256
永州市	1245
延安市	1222
柳州市	1219
宜春市	1213
威海市	1212
昆明市	1206
梧州市	1204
益阳市	1187
湛江市	1171
三门峡市	1165
哈尔滨市	1157
自贡市	1143
鹤壁市	1130
南昌市	1120
株洲市	1097
赣州市	1092
晋中市	1082
深圳市	1053
资阳市	1041
百色市	1040
衡阳市	1039
葫芦岛市	1032
九江市	1030
娄底市	1017
延边朝鲜族自治州市	1016
贵阳市	1014
三明市	997
长治市	991
郴州市	991
清远市	982
庆阳市	974
丽水市	973
丹东市	958
吉林市	956
朝阳市	952
太原市	927
梅州市	923
珠海市	909
韶关市	907
银川市	904
云浮市	903
通辽市	903
营口市	887
阳江市	876
宁德市	869
呼和浩特市	854
汉江市	850
达州市	833
眉山市	817
乌鲁木齐市	815
本溪市	804
黄山市	803
淮南市	800
贺州市	783
海口市	773
商洛市	773
龙岩市	760
怀化市	758
舟山市	753
汕头市	749
吉安市	746
运城市	732
安康市	731
毕节市	730
淮北市	729
荣成市	720
包头市	712
抚顺市	705
四平市	704
广元市	698
抚州市	695
巴彦淖尔市	694
盘锦市	675
恩施土家族苗族自治州市	658
揭阳市	658
兰陵市	657
吕梁市	656
钦州市	647
乌兰察布市	640
莱芜市	638
遂宁市	623
呼伦贝尔市	617
咸宁市	612
池州市	608
鄂州市	606
河池市	605
辽源市	568
阜新市	567
雅安市	561
随州市	555
通化市	555
济源市	541
上饶市	541
河源市	537
宜昌市	519
平凉市	515
齐齐哈尔市	514
曲靖市	508
晋城市	508
孝感市	505
辽阳市	503
钟祥市	481
大同市	481
绥化市	451
白山市	444
兰州市	439
昭通市	439
临汾市	435
黔南布依族苗族自治州市	433
忻州市	432
安陆市	423
阳泉市	419
十堰市	417
铜川市	415
攀枝花市	414
松原市	411
铜陵市	408
楚雄彝族自治州市	392
铜梁市	387
荆门市	387
潮州市	387
铜仁市	385
荆州市	384
六盘水市	382
淄博高新技术产业开发市	379
当阳市	375
鹰潭市	375
天水市	372
红河哈尼族彝族自治州市	369
安顺市	368
大理白族自治州市	368
崇左市	364
朔州市	363
酒泉市	357
黔东南苗族侗族自治州市	355
公安市	346
巴中市	345
黔西南布依族苗族自治州市	343
凉山彝族自治州市	337
北海市	324
鄂尔多斯市	316
来宾市	315
玉溪市	311
岐山市	311
牡丹江市	296
枝江市	294
张掖市	293
定西市	291
蕲春市	290
璧山市	283
京山市	283
黄梅市	279
宜都市	277
宿迁宿豫市	275
吴忠市	271
黄石市	266
石嘴山市	266
西安铁路运输市	261
湘西土家族苗族自治州市	261
固原市	259
阳新市	254
西宁市	245
黄冈市	243
临沧市	240
石河子市	239
麻城市	237
大冶市	235
大庆市	229
白城市	227
昌吉市	225
防城港市	223
库尔勒市	223
汕尾市	218
鸡西市	216
中卫市	213
武威市	212
云梦市	211
文山壮族苗族自治州市	208
佳木斯市	203
黑河市	201
锡林郭勒盟市	197
上海铁路运输市	185
海西蒙古族藏族自治州市	182
金昌市	181
白银市	179
赤壁市	171
红安市	169
崇阳市	169
武穴市	163
武汉东湖新技术开发市	161
张家界市	160
广水市	159
阜康市	158
监利市	152
双鸭山市	150
