	num
《最高人民法院关于审理人身损害赔偿案件适用法律若干问题的解释》第十九条	66801
《最高人民法院关于审理人身损害赔偿案件适用法律若干问题的解释》第二十一条	61065
《最高人民法院关于审理人身损害赔偿案件适用法律若干问题的解释》第二十二条	60873
《最高人民法院关于审理人身损害赔偿案件适用法律若干问题的解释》第二十三条	57342
《最高人民法院关于审理人身损害赔偿案件适用法律若干问题的解释》第二十条	56595
《最高人民法院关于审理人身损害赔偿案件适用法律若干问题的解释》第十七条	55735
《最高人民法院关于审理人身损害赔偿案件适用法律若干问题的解释》第二十四条	41886
《最高人民法院关于审理人身损害赔偿案件适用法律若干问题的解释》第二十五条	41213
《最高人民法院关于审理人身损害赔偿案件适用法律若干问题的解释》第十八条	39428
《最高人民法院关于审理道路交通事故损害赔偿案件适用法律若干问题的解释》第十六条	38424
《最高人民法院关于审理人身损害赔偿案件适用法律若干问题的解释》第十七条第一款	20679
《最高人民法院关于审理人身损害赔偿案件适用法律若干问题的解释》第二十八条	16622
《最高人民法院关于确定民事侵权精神损害赔偿责任若干问题的解释》第十条	12242
《最高人民法院关于审理人身损害赔偿案件适用法律若干问题的解释》第十七条第二款	11384
《最高人民法院关于审理人身损害赔偿案件适用法律若干问题的解释》第二十九条	8792
《最高人民法院关于审理人身损害赔偿案件适用法律若干问题的解释》第二十七条	8289
《最高人民法院关于民事诉讼证据的若干规定》第二条	7575
《最高人民法院关于审理人身损害赔偿案件适用法律若干问题的解释》第三十五条	7055
《最高人民法院关于确定民事侵权精神损害赔偿责任若干问题的解释》第八条第二款	4965
《最高人民法院关于审理道路交通事故损害赔偿案件适用法律若干问题的解释》第十五条	4831
《最高人民法院关于审理人身损害赔偿案件适用法律若干问题的解释》第九条	4742
《最高人民法院关于审理道路交通事故损害赔偿案件适用法律若干问题的解释》第十九条	4002
《最高人民法院关于审理道路交通事故损害赔偿案件适用法律若干问题的解释》第三条	3941
《最高人民法院关于审理人身损害赔偿案件适用法律若干问题的解释》第二十三条第一款	3932
《最高人民法院关于审理道路交通事故损害赔偿案件适用法律若干问题的解释》第十四条	3698
《最高人民法院关于审理人身损害赔偿案件适用法律若干问题的解释》第十八条第一款	3641
《最高人民法院关于确定民事侵权精神损害赔偿责任若干问题的解释》第八条	3639
《最高人民法院关于审理人身损害赔偿案件适用法律若干问题的解释》第二十六条	3490
《最高人民法院关于审理人身损害赔偿案件适用法律若干问题的解释》第一条	3375
《最高人民法院关于审理人身损害赔偿案件适用法律若干问题的解释》第十七条第三款	3018
《最高人民法院关于审理人身损害赔偿案件适用法律若干问题的解释》第二十一条第一款	2776
《最高人民法院关于审理人身损害赔偿案件适用法律若干问题的解释》第二十一条第二款	2662
《最高人民法院关于审理道路交通事故损害赔偿案件适用法律若干问题的解释》第二十二条	2615
《最高人民法院关于审理人身损害赔偿案件适用法律若干问题的解释》第二十五条第一款	2470
《最高人民法院关于审理道路交通事故损害赔偿案件适用法律若干问题的解释》第十六条第一款	2361
《最高人民法院关于审理人身损害赔偿案件适用法律若干问题的解释》第三十一条	2118
《最高人民法院关于审理人身损害赔偿案件若干问题的解释》第十九条	2009
《最高人民法院关于审理道路交通事故损害赔偿案件适用法律若干问题的解释》第二十五条	1975
《最高人民法院关于审理人身损害赔偿案件若干问题的解释》第二十二条	1886
《最高人民法院关于审理人身损害赔偿案件若干问题的解释》第二十一条	1866
《最高人民法院关于审理人身损害赔偿案件若干问题的解释》第二十三条	1802
《最高人民法院关于确定民事侵权精神损害赔偿责任若干问题的解释》第十一条	1798
《最高人民法院关于审理人身损害赔偿案件若干问题的解释》第十七条	1790
《最高人民法院关于审理人身损害赔偿案件适用法律若干问题的解释》第十九条第一款	1724
《最高人民法院关于审理人身损害赔偿案件若干问题的解释》第二十条	1678
《最高人民法院关于审理道路交通事故损害赔偿案件适用法律若干问题的解释》第十八条	1577
《最高人民法院关于审理人身损害赔偿案件适用法律若干问题的解释》第三十条	1383
《最高人民法院关于确定民事侵权精神损害赔偿责任若干问题的解释》第十条第一款	1261
《最高人民法院关于审理人身损害赔偿案件若干问题的解释》第二十五条	1261
《最高人民法院关于审理人身损害赔偿案件若干问题的解释》第十八条	1185
《最高人民法院关于确定民事侵权精神损害赔偿责任若干问题的解释》第一条	1101
《最高人民法院关于审理道路交通事故损害赔偿案件适用法律若干问题的解释》第二十一条	1092
《最高人民法院关于审理道路交通事故损害赔偿案件适用法律若干问题的解释》第一条	1035
《最高人民法院关于审理道路交通事故损害赔偿案件适用法律若干问题的解释》第十九条第一款	1024
《最高人民法院关于审理道路交通事故损害赔偿案件适用法律若干问题的解释》第二十七条	935
《国务院机动车交通事故责任强制保险条例》第二十一条第一款	918
《最高人民法院关于确定民事侵权精神损害赔偿责任若干问题的解释》第九条	833
《最高人民法院关于审理人身损害赔偿案件若干问题的解释》第二十四条	826
《国务院机动车交通事故责任强制保险条例》第二十三条	704
《国务院机动车交通事故责任强制保险条例》第二十一条	673
《最高人民法院关于审理人身损害赔偿案件适用法律若干问题的解释》第八条	652
《最高人民法院关于审理人身损害赔偿案件若干问题的解释》第二十八条	611
《最高人民法院关于审理道路交通事故损害赔偿案件适用法律若干问题的解释》第十四条第一款	557
《最高人民法院关于审理人身损害赔偿案件适用法律若干问题的解释》第二条	548
《最高人民法院关于适用中华人民共和国侵权责任法》若干问题的通知第四条	543
《最高人民法院关于审理道路交通事故损害赔偿案件适用法律若干问题的解释》第十五条第（一）项	501
《最高人民法院关于确定民事侵权精神损害赔偿责任若干问题的解释》第一条第一款第（一）项	452
《最高人民法院关于审理人身损害赔偿案件适用法律若干问题的解释》第九条第一款	443
《最高人民法院关于适用﹤中华人民共和国侵权责任法﹥若干问题的通知》第四条	431
《最高人民法院关于审理道路交通事故损害赔偿案件适用法律若干问题的解释》第十七条	422
《最高人民法院关于审理交通事故损害赔偿案件适用法律若干问题的解释》第十六条	401
《最高人民法院关于审理人身损害赔偿案件适用法律若干问题的解释》第二十条第二款	398
《最高人民法院关于道路交通损害赔偿司法解释》第十六条	383
《最高人民法院关于审理人身损害赔偿案件适用法律若干问题的解释》第二十条第一款	374
《最高人民法院关于审理人身损害赔偿案件适用法律若干问题的解释》第十九条第二款	363
《最高人民法院关于审理人身损害赔偿案件适用法律若干问题的解释》第十六条	357
《最高人民法院关于审理人身损害赔偿纠纷案件适用法律若干问题的解释》第十九条	356
《最高人民法院关于人身损害赔偿案件适用法律若干问题的解释》第十九条	346
《最高人民法院关于审理道路交通事故损害赔偿案件适用法律若干问题的解释》第十四条第二款	345
《最高人民法院关于审理人身损害赔偿案件适用法律若干问题的解释》第二十条第三款	341
《最高人民法院关于民事诉讼证据的若干规定》第七十六条	339
《最高人民法院关于审理道路交通事故损害赔偿案件适用法律若干问题的解释》第十六条第一款第（一）项	337
《最高人民法院关于审理人身损害赔偿案件适用法律问题的解释》第十九条	337
《最高人民法院关于确定民事侵权精神损害赔偿若干问题的解释》第十条	334
《最高人民法院关于审理人身损害赔偿案件适用法律若干问题的解释》第三条	330
《最高人民法院关于审理人身损害赔偿案件适用法律问题的解释》第二十一条	325
《最高人民法院关于审理人身损害赔偿案件适用法律问题的解释》第十七条	324
《最高人民法院关于人身损害赔偿案件适用法律若干问题的解释》第二十二条	322
《最高人民法院关于审理人身损害赔偿纠纷案件适用法律若干问题的解释》第二十二条	320
《最高人民法院关于民事诉讼证据的若干规定》第二条第二款	319
《最高人民法院关于审理人身损害赔偿案件适用法律问题的解释》第二十三条	317
《最高人民法院关于审理人身损害赔偿案件适用法律问题的解释》第二十二条	316
《最高人民法院关于审理人身损害赔偿案件适用法律若干问题的解释》第十一条	315
《最高人民法院关于民事诉讼证据若干规定》第二条	311
《最高人民法院关于审理道路交通事故损害赔偿案件适用法律若干问题的解释》第十六条第二款	310
《最高人民法院关于审理人身损害赔偿纠纷案件适用法律若干问题的解释》第二十三条	310
《最高人民法院关于审理人身损害赔偿纠纷案件适用法律若干问题的解释》第二十条	307
《最高人民法院关于审理道路交通事故损害赔偿案件适用法律若干问题的解释》第二十一条第一款	301
《最高人民法院关于人身损害赔偿案件适用法律若干问题的解释》第二十一条	301
《最高人民法院关于人身损害赔偿案件适用法律若干问题的解释》第二十条	300
《国务院机动车交通事故责任强制保险条例》第二十三条第一款	299
《最高人民法院关于人身损害赔偿案件适用法律若干问题的解释》第二十四条	298
《最高人民法院关于审理道路交通事故损害赔偿案件适用法律若干问题的解释》第二十五条第二款	296
《最高人民法院关于人身损害赔偿案件适用法律若干问题的解释》第二十三条	295
《国务院诉讼费用交纳办法》第二十九条	290
《最高人民法院关于审理人身损害赔偿纠纷案件适用法律若干问题的解释》第二十四条	283
《最高人民法院关于审理人身损害赔偿案件适用法律若干问题的解释》第十三条	282
《最高人民法院关于适用〈中华人民共和国侵权责任法〉若干问题的通知》第四条	282
《最高人民法院关于审理人身损害赔偿案件适用法律若干问题的解释》第二十一条第三款	280
《最高人民法院关于审理人身损害赔偿纠纷案件适用法律若干问题的解释》第十七条	280
《最高人民法院关于审理人身损害赔偿案件适用法律问题的解释》第十八条	278
《最高人民法院关于审理人身损害赔偿纠纷案件适用法律若干问题的解释》第二十一条	273
《最高人民法院关于审理道路交通损害赔偿案件适用法律若干问题的解释》第十六条	270
